ip,mac,vendor,device_type,hostname,os,open_ports,services
192.168.41.98,24:32:AE:DB:D0:02,"Hangzhou Hikvision Digital Technology Co.,Ltd.",IP-Camera/NVR,,,tcp/80;tcp/443;tcp/554;tcp/8000,http;https;rtsp;tcpwrapped
192.168.41.99,00:12:31:73:75:87,Motion Control Systems,Industrial-Controller,,,tcp/80;tcp/554;tcp/8000;tcp/8899,http;rtsp (H264DVR rtspd) 1.0;http-alt;soap (gSOAP) 2.7
192.168.41.100,BC:5E:33:90:13:CE,Unknown,IP-Camera/NVR,,,tcp/80;tcp/443;tcp/554;tcp/8000,http;https;rtsp;http-alt
192.168.41.101,F8:CE:07:BF:E5:59,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554,http;rtsp
192.168.41.103,00:12:31:73:6B:FF,Motion Control Systems,Industrial-Controller,,,tcp/80;tcp/554;tcp/8000;tcp/8899,http;rtsp (H264DVR rtspd) 1.0;http-alt;soap (gSOAP) 2.7
192.168.41.104,BC:5E:33:90:13:CD,Unknown,IP-Camera/NVR,,,tcp/80;tcp/443;tcp/554;tcp/8000,http;https;rtsp;tcpwrapped
192.168.41.105,F8:CE:07:BF:E9:5D,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554,http;rtsp
192.168.41.106,24:32:AE:DB:D0:2F,"Hangzhou Hikvision Digital Technology Co.,Ltd.",IP-Camera/NVR,,,tcp/80;tcp/443;tcp/554;tcp/8000,http;https;rtsp;tcpwrapped
192.168.41.107,24:32:AE:FA:38:AC,"Hangzhou Hikvision Digital Technology Co.,Ltd.",IP-Camera/NVR,,,tcp/80;tcp/443;tcp/554;tcp/8000,http;https;rtsp;http-alt
192.168.41.108,F8:CE:07:BF:E5:A9,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554,http;rtsp
192.168.41.109,C4:AA:C4:1F:43:10,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554;tcp/8086,http;rtsp;d-s-n
192.168.41.111,D4:E8:53:98:F2:86,Hangzhou Hikvision Digital Technology,IP-Camera/NVR,,,tcp/80;tcp/443;tcp/554;tcp/8000;tcp/8443,http;https;rtsp;tcpwrapped;https-alt
192.168.41.112,00:12:31:60:A4:05,Motion Control Systems,Industrial-Controller,,,tcp/80;tcp/554;tcp/8000;tcp/8899,http;rtsp (H264DVR rtspd) 1.0;http-alt;soap (gSOAP) 2.7
192.168.41.113,00:12:31:5F:8E:E6,Motion Control Systems,Industrial-Controller,,,tcp/80;tcp/554;tcp/8000;tcp/8899,http;rtsp (H264DVR rtspd) 1.0;http-alt;soap (gSOAP) 2.7
192.168.41.114,00:12:31:60:AE:78,Motion Control Systems,Industrial-Controller,,,tcp/80;tcp/554;tcp/8000;tcp/8899,http;rtsp (H264DVR rtspd) 1.0;http-alt;soap (gSOAP) 2.7
192.168.41.115,F4:B1:C2:21:25:C5,Zhejiang Dahua Technology,IP-Camera/NVR,,,tcp/80;tcp/554;tcp/8086,http;rtsp;d-s-n
192.168.41.116,00:12:31:60:A1:78,Motion Control Systems,Industrial-Controller,,,tcp/80;tcp/554;tcp/8000;tcp/8899,http;rtsp (H264DVR rtspd) 1.0;http-alt;soap (gSOAP) 2.7
192.168.41.119,00:12:41:F1:DD:B0,a2i marketing center,Industrial-Controller,,,tcp/80;tcp/554;tcp/8000;tcp/8899,http;rtsp (H264DVR rtspd) 1.0;http-alt;soap (gSOAP) 2.7
192.168.41.124,FC:9F:FD:4F:ED:8D,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554;tcp/8000,http;rtsp;tcpwrapped
192.168.41.127,FC:9F:FD:4F:ED:A5,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554;tcp/8000,http;rtsp;tcpwrapped
192.168.41.128,BC:5E:33:8C:54:4D,Unknown,IP-Camera/NVR,,,tcp/80;tcp/443;tcp/554;tcp/8000,http;https;rtsp;tcpwrapped
192.168.41.129,40:AC:BF:48:87:BE,Unknown,IP-Camera/NVR,,,tcp/80;tcp/443;tcp/554;tcp/8000,http;https;rtsp;tcpwrapped
192.168.41.130,FC:9F:FD:45:71:33,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554;tcp/8000,http;rtsp;tcpwrapped
192.168.41.131,D4:43:0E:DB:EB:C7,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554;tcp/8086,http;rtsp;d-s-n
192.168.41.132,FC:9F:FD:4F:ED:95,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554;tcp/8000,http;rtsp;tcpwrapped
192.168.41.133,88:AE:DD:60:36:B4,EliteGroup Computer Systems,Embedded/Other,,,tcp/5357,http (Microsoft HTTPAPI httpd) 2.0
192.168.41.134,F8:CE:07:6D:FD:4F,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554,http;rtsp
192.168.41.135,F8:CE:07:38:0C:71,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554,http;rtsp
192.168.41.136,F8:CE:07:6D:FD:2F,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554,http;rtsp
192.168.41.141,FC:9F:FD:4F:ED:9C,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554;tcp/8000,http;rtsp;tcpwrapped
192.168.41.143,98:F1:12:67:37:E6,Unknown,IP-Camera/NVR,,,tcp/80;tcp/443;tcp/554;tcp/8000,http;https;rtsp;tcpwrapped
192.168.41.144,FC:9F:FD:4F:ED:9B,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554;tcp/8000,http;rtsp;tcpwrapped
192.168.41.145,FC:9F:FD:4F:ED:93,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554;tcp/8000,http;rtsp;tcpwrapped
192.168.41.146,FC:9F:FD:45:71:43,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554;tcp/8000,http;rtsp;tcpwrapped
192.168.41.147,FC:9F:FD:45:71:3E,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554;tcp/8000,http;rtsp;tcpwrapped
192.168.41.148,BC:32:5F:6E:AB:B6,Zhejiang Dahua Technology,IP-Camera/NVR,,,tcp/80;tcp/554;tcp/1935;tcp/5000,http;rtsp;rtmp;upnp
192.168.41.149,BC:5E:33:90:13:C5,Unknown,IP-Camera/NVR,,,tcp/80;tcp/443;tcp/554;tcp/8000,http;https;rtsp;http-alt
192.168.41.150,F4:B1:C2:AB:A9:AE,Zhejiang Dahua Technology,IP-Camera/NVR,,,tcp/80;tcp/554,http;rtsp
192.168.41.156,D4:43:0E:62:0D:F7,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554;tcp/8086,http;rtsp;d-s-n
192.168.41.158,F4:B1:C2:25:75:F5,Zhejiang Dahua Technology,IP-Camera/NVR,,,tcp/80;tcp/554;tcp/8086,http;rtsp;d-s-n
192.168.41.159,3C:E3:6B:AB:A1:30,Zhejiang Dahua Technology,IP-Camera/NVR,,,tcp/80;tcp/554;tcp/8086,http;rtsp;d-s-n
192.168.41.160,C4:AA:C4:1F:43:2F,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554;tcp/8086,http;rtsp;d-s-n
192.168.41.162,24:32:AE:DB:D0:14,"Hangzhou Hikvision Digital Technology Co.,Ltd.",IP-Camera/NVR,,,tcp/80;tcp/443;tcp/554;tcp/8000,http;https;rtsp;tcpwrapped
192.168.41.163,BC:32:5F:6E:AB:08,Zhejiang Dahua Technology,IP-Camera/NVR,,,tcp/80;tcp/554;tcp/1935;tcp/5000,http;rtsp;rtmp;upnp
192.168.41.164,F8:CE:07:7B:8D:E9,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554,http;rtsp
192.168.41.165,08:CC:81:A4:83:6A,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554;tcp/8000,http;rtsp;tcpwrapped
192.168.41.166,F8:CE:07:BF:E9:53,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554,http;rtsp
192.168.41.167,F8:CE:07:6D:FD:32,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554,http;rtsp
192.168.41.168,08:CC:81:A4:83:90,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554;tcp/8000,http;rtsp;tcpwrapped
192.168.41.169,50:E5:38:F5:4C:B6,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554;tcp/8000,http;rtsp;tcpwrapped
192.168.41.170,F8:CE:07:4D:92:80,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554,http;rtsp
192.168.41.199,88:AE:DD:60:39:A3,EliteGroup Computer Systems,Unidentified,,,,
192.168.41.200,C8:7F:54:59:DB:55,Unknown,Embedded/Other,,,tcp/7070,realserver
192.168.41.201,6C:B3:11:A1:A5:CE,Shenzhen Lianrui Electronics,Industrial-Controller,,,tcp/135;tcp/139;tcp/445;tcp/555;tcp/3389;tcp/5432;tcp/8080,msrpc (Microsoft Windows RPC);netbios-ssn (Microsoft Windows netbios-ssn);microsoft-ds;dsf;ms-wbt-server;postgresql;http-proxy
192.168.41.202,A0:A3:F0:D2:20:53,D-Link International,Windows-Workstation/Server,,,tcp/135;tcp/139;tcp/445;tcp/555;tcp/3389;tcp/5432;tcp/7070;tcp/8080;tcp/20000,msrpc (Microsoft Windows RPC);netbios-ssn (Microsoft Windows netbios-ssn);microsoft-ds;dsf;ms-wbt-server (Microsoft Terminal Services);postgresql;realserver;http-proxy;soap (gSOAP) 2.8
192.168.41.216,40:AC:BF:56:64:93,Unknown,IP-Camera/NVR,,,tcp/80;tcp/443;tcp/554;tcp/8000,http;https;rtsp;tcpwrapped
192.168.41.220,B0:A7:B9:B3:F5:18,TP-Link Limited,Network-Device/Router,,,tcp/80;tcp/443,http;https
192.168.41.221,9C:A2:F4:B4:44:6E,Unknown,Embedded/Other,,,tcp/80;tcp/443;tcp/44443,http;https;coldfusion-auth
192.168.41.222,9C:A2:F4:B4:44:6D,Unknown,Embedded/Other,,,tcp/80;tcp/443;tcp/44443,http;https;coldfusion-auth
192.168.41.225,9C:A2:F4:B4:44:26,Unknown,Embedded/Other,,,tcp/80;tcp/443;tcp/44443,http;https;coldfusion-auth
192.168.41.236,F0:23:B9:5D:CD:3D,Ieee Registration Authority,IP-Camera/NVR,,,tcp/21;tcp/23;tcp/80;tcp/554;tcp/1556;tcp/1935;tcp/6000;tcp/49152,ftp (oftpd);telnet (security DVR telnetd);tcpwrapped;rtsp;veritas_pbx;rtmp;X11;upnp (Portable SDK for UPnP devices) 1.6.17
192.168.41.243,88:AE:DD:60:30:B1,EliteGroup Computer Systems,Unidentified,,,,
192.168.41.250,78:98:E8:C1:E8:61,D-Link International,Windows-Workstation/Server,,,tcp/80;tcp/135;tcp/139;tcp/445;tcp/3389;tcp/5432;tcp/7070;tcp/8181,http (Microsoft HTTPAPI httpd) 2.0;msrpc (Microsoft Windows RPC);netbios-ssn (Microsoft Windows netbios-ssn);microsoft-ds;ms-wbt-server (Microsoft Terminal Services);postgresql;realserver;intermapper
192.168.41.251,88:AE:DD:62:C7:C0,EliteGroup Computer Systems,Windows-Workstation/Server,,,tcp/135;tcp/139;tcp/445;tcp/7070,msrpc (Microsoft Windows RPC);netbios-ssn (Microsoft Windows netbios-ssn);microsoft-ds;realserver
192.168.41.254,,,Embedded/Other,tpt14g1-fedora,,tcp/7070,realserver
